"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"vg1:Voyager1:1                      ","Class","Voyager1","1.0.0.0","vg1","The VG1 class is the container for mission-specific metadata elements.","ppi","","","","","","","","","","",""
"vg1:Voyager1:2                       vg1:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","vg1","The mission_phase_name attribute provides the mission-defined name of a mission phase.","ppi","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"vg1:Voyager1:2                       vg1:mission_phase_name:2             Value:Launch","Value","Launch","","","1977-09-05 (1977-248) to 1977-09-05 (1977-248)"
"vg1:Voyager1:2                       vg1:mission_phase_name:2             Value:Earth-Jupiter Cruise","Value","Earth-Jupiter Cruise","","",")1977-09-05 (1977-248) to 1979-01-06 (1979-006)"
"vg1:Voyager1:2                       vg1:mission_phase_name:2             Value:Jupiter Encounter","Value","Jupiter Encounter","","","1979-01-06 (1979-006) to 1979-04-13 (1979-103)"
"vg1:Voyager1:2                       vg1:mission_phase_name:2             Value:Jupiter-Saturn Cruis","Value","Jupiter-Saturn Cruise","","","1979-04-13 (1979-103) to 1980-08-22 (1980-235)"
"vg1:Voyager1:2                       vg1:mission_phase_name:2             Value:Saturn Encounter","Value","Saturn Encounter","","","1980-08-22 (1980-235) to 1980-12-14 (1980-349)"
"vg1:Voyager1:2                       vg1:mission_phase_name:2             Value:Interstellar Mission","Value","Interstellar Mission","","","1980-12-14 (1980-349)to UNK"
"vg1:Voyager1:2                       vg1:spacecraft_clock_start_count:1  ","Attribute","spacecraft_clock_start_count","n/a","vg1","The spacecraft_clock_start_count attribute provides the value of the spacecraft clock at the beginning of a time period of interest. ","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"vg1:Voyager1:2                       vg1:spacecraft_clock_stop_count:1   ","Attribute","spacecraft_clock_stop_count","n/a","vg1","The spacecraft_clock_stop_count attribute provides the value of the spacecraft clock at the beginning of a time period of interest. ","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
